From,To,Participant,Stimulus,AOI
0,0,8dft2wh1wj,00,question dialog closed
1182,1437,8dft2wh1wj,00,ZOOM
1453,1703,8dft2wh1wj,00,ZOOM
3767,4019,8dft2wh1wj,00,ZOOM
6124,6533,8dft2wh1wj,00,MOVE
7516,7773,8dft2wh1wj,00,ZOOM
7799,8066,8dft2wh1wj,00,ZOOM
8716,9010,8dft2wh1wj,00,MOVE
9382,9636,8dft2wh1wj,00,ZOOM
9650,9907,8dft2wh1wj,00,ZOOM
10466,10719,8dft2wh1wj,00,ZOOM
10733,10991,8dft2wh1wj,00,ZOOM
11732,11986,8dft2wh1wj,00,ZOOM
11999,12252,8dft2wh1wj,00,ZOOM
13124,13411,8dft2wh1wj,00,MOVE
13932,14201,8dft2wh1wj,00,ZOOM
14915,15182,8dft2wh1wj,00,ZOOM
25879,26133,8dft2wh1wj,00,ZOOM
31265,31519,8dft2wh1wj,00,ZOOM
31565,31818,8dft2wh1wj,00,ZOOM
33869,33869,8dft2wh1wj,00,legend opened
36110,36110,8dft2wh1wj,00,show layer
37208,37208,8dft2wh1wj,00,hide layer
41515,41766,8dft2wh1wj,00,ZOOM
42652,42900,8dft2wh1wj,00,ZOOM
44277,44533,8dft2wh1wj,00,ZOOM
45780,46035,8dft2wh1wj,00,ZOOM
46047,46300,8dft2wh1wj,00,ZOOM
46864,47117,8dft2wh1wj,00,ZOOM
49036,49519,8dft2wh1wj,00,MOVE
54044,54300,8dft2wh1wj,00,ZOOM
56520,56520,8dft2wh1wj,00,show layer
57627,57627,8dft2wh1wj,00,popupopen:name
57629,62288,8dft2wh1wj,00,POPUP
62291,62291,8dft2wh1wj,00,popupopen:name
64004,64004,8dft2wh1wj,00,answer button clicked
67096,67096,8dft2wh1wj,00,answer selected
62292,67960,8dft2wh1wj,00,POPUP
0,0,8dft2wh1wj,01A-v1,setting task
0,0,8dft2wh1wj,01A-v1,setting task
7089,7089,8dft2wh1wj,01A-v1,question dialog closed
10646,10646,8dft2wh1wj,01A-v1,popupopen:name
10646,13870,8dft2wh1wj,01A-v1,POPUP
13872,13872,8dft2wh1wj,01A-v1,popupopen:name
13873,15449,8dft2wh1wj,01A-v1,POPUP
15451,15451,8dft2wh1wj,01A-v1,popupopen:name
15451,16988,8dft2wh1wj,01A-v1,POPUP
16991,16991,8dft2wh1wj,01A-v1,popupopen:name
16991,18574,8dft2wh1wj,01A-v1,POPUP
18577,18577,8dft2wh1wj,01A-v1,popupopen:name
20503,20503,8dft2wh1wj,01A-v1,answer button clicked
18577,20504,8dft2wh1wj,01A-v1,POPUP
23050,23050,8dft2wh1wj,01A-v1,polygon selected
0,0,8dft2wh1wj,02A-v1,setting task
2839,2839,8dft2wh1wj,02A-v1,question dialog closed
3738,4001,8dft2wh1wj,02A-v1,ZOOM
4067,4327,8dft2wh1wj,02A-v1,ZOOM
4451,4717,8dft2wh1wj,02A-v1,ZOOM
5255,5511,8dft2wh1wj,02A-v1,ZOOM
6038,6294,8dft2wh1wj,02A-v1,ZOOM
8688,9313,8dft2wh1wj,02A-v1,MOVE
12062,13081,8dft2wh1wj,02A-v1,MOVE
16600,16600,8dft2wh1wj,02A-v1,popupopen:name
16601,18230,8dft2wh1wj,02A-v1,POPUP
18233,18233,8dft2wh1wj,02A-v1,popupopen:name
18233,19906,8dft2wh1wj,02A-v1,POPUP
19910,19910,8dft2wh1wj,02A-v1,popupopen:name
21428,21428,8dft2wh1wj,02A-v1,answer button clicked
19910,21429,8dft2wh1wj,02A-v1,POPUP
22137,22137,8dft2wh1wj,02A-v1,polygon selected
0,0,8dft2wh1wj,01B-v1,setting task
14357,14357,8dft2wh1wj,01B-v1,question dialog closed
15486,15486,8dft2wh1wj,01B-v1,popupopen:name
15486,18910,8dft2wh1wj,01B-v1,POPUP
18912,18912,8dft2wh1wj,01B-v1,popupopen:name
18913,22370,8dft2wh1wj,01B-v1,POPUP
22373,22373,8dft2wh1wj,01B-v1,popupopen:name
22374,24725,8dft2wh1wj,01B-v1,POPUP
24727,24727,8dft2wh1wj,01B-v1,popupopen:name
24728,26015,8dft2wh1wj,01B-v1,POPUP
26017,26017,8dft2wh1wj,01B-v1,popupopen:name
26018,27664,8dft2wh1wj,01B-v1,POPUP
27666,27666,8dft2wh1wj,01B-v1,popupopen:name
27667,32156,8dft2wh1wj,01B-v1,POPUP
32156,32156,8dft2wh1wj,01B-v1,popupclose
32158,32158,8dft2wh1wj,01B-v1,popupopen:name
32158,34618,8dft2wh1wj,01B-v1,POPUP
34620,34620,8dft2wh1wj,01B-v1,popupopen:name
36017,36017,8dft2wh1wj,01B-v1,answer button clicked
34621,36017,8dft2wh1wj,01B-v1,POPUP
37929,37929,8dft2wh1wj,01B-v1,polygon selected
0,0,8dft2wh1wj,02B-v1,setting task
2498,2498,8dft2wh1wj,02B-v1,question dialog closed
4337,4596,8dft2wh1wj,02B-v1,ZOOM
6793,6793,8dft2wh1wj,02B-v1,popupopen:name
6793,8094,8dft2wh1wj,02B-v1,POPUP
8097,8097,8dft2wh1wj,02B-v1,popupopen:name
8098,10067,8dft2wh1wj,02B-v1,POPUP
10071,10071,8dft2wh1wj,02B-v1,popupopen:name
10071,11411,8dft2wh1wj,02B-v1,POPUP
19239,19239,8dft2wh1wj,02B-v1,answer button clicked
19978,19978,8dft2wh1wj,02B-v1,polygon selected
0,0,8dft2wh1wj,03A-v1,setting task
8774,8774,8dft2wh1wj,03A-v1,question dialog closed
14268,14268,8dft2wh1wj,03A-v1,popupopen:name
14269,15879,8dft2wh1wj,03A-v1,POPUP
15882,15882,8dft2wh1wj,03A-v1,popupopen:name
15882,17059,8dft2wh1wj,03A-v1,POPUP
18929,18929,8dft2wh1wj,03A-v1,popupopen:name
18930,21418,8dft2wh1wj,03A-v1,POPUP
21420,21420,8dft2wh1wj,03A-v1,popupopen:name
21421,22853,8dft2wh1wj,03A-v1,POPUP
24294,24294,8dft2wh1wj,03A-v1,answer button clicked
27489,27489,8dft2wh1wj,03A-v1,polygon selected
29180,29180,8dft2wh1wj,03A-v1,polygon selected
33912,33912,8dft2wh1wj,03A-v1,polygon selected
0,0,8dft2wh1wj,01C-v1,setting task
3357,3357,8dft2wh1wj,01C-v1,question dialog closed
5110,5370,8dft2wh1wj,01C-v1,ZOOM
5394,5656,8dft2wh1wj,01C-v1,ZOOM
6377,6635,8dft2wh1wj,01C-v1,ZOOM
6660,6931,8dft2wh1wj,01C-v1,ZOOM
8044,8299,8dft2wh1wj,01C-v1,ZOOM
9148,9148,8dft2wh1wj,01C-v1,popupopen:name
12654,13244,8dft2wh1wj,01C-v1,MOVE
17578,18295,8dft2wh1wj,01C-v1,MOVE
19240,19240,8dft2wh1wj,01C-v1,answer button clicked
27666,27666,8dft2wh1wj,01C-v1,answer selected
28455,28455,8dft2wh1wj,01C-v1,answer selected
9148,30622,8dft2wh1wj,01C-v1,POPUP
0,0,8dft2wh1wj,03B-v1,setting task
12410,12410,8dft2wh1wj,03B-v1,question dialog closed
14772,14772,8dft2wh1wj,03B-v1,popupopen:name
14773,19081,8dft2wh1wj,03B-v1,POPUP
19084,19084,8dft2wh1wj,03B-v1,popupopen:name
19084,22289,8dft2wh1wj,03B-v1,POPUP
22292,22292,8dft2wh1wj,03B-v1,popupopen:name
22293,24929,8dft2wh1wj,03B-v1,POPUP
24931,24931,8dft2wh1wj,03B-v1,popupopen:name
24932,30930,8dft2wh1wj,03B-v1,POPUP
30932,30932,8dft2wh1wj,03B-v1,popupopen:name
32556,33420,8dft2wh1wj,03B-v1,MOVE
30933,35400,8dft2wh1wj,03B-v1,POPUP
35402,35402,8dft2wh1wj,03B-v1,popupopen:name
35403,37186,8dft2wh1wj,03B-v1,POPUP
37189,37189,8dft2wh1wj,03B-v1,popupopen:name
39117,39117,8dft2wh1wj,03B-v1,answer button clicked
37190,39118,8dft2wh1wj,03B-v1,POPUP
41152,41152,8dft2wh1wj,03B-v1,polygon selected
0,0,8dft2wh1wj,04A-v1,setting task
4591,4591,8dft2wh1wj,04A-v1,question dialog closed
6301,6563,8dft2wh1wj,04A-v1,ZOOM
6575,6831,8dft2wh1wj,04A-v1,ZOOM
8452,8708,8dft2wh1wj,04A-v1,ZOOM
9802,9802,8dft2wh1wj,04A-v1,popupopen:name
9803,14442,8dft2wh1wj,04A-v1,POPUP
14444,14444,8dft2wh1wj,04A-v1,popupopen:name
14444,16235,8dft2wh1wj,04A-v1,POPUP
16238,16238,8dft2wh1wj,04A-v1,popupopen:name
16238,17483,8dft2wh1wj,04A-v1,POPUP
19937,20333,8dft2wh1wj,04A-v1,MOVE
21217,21768,8dft2wh1wj,04A-v1,MOVE
36721,36721,8dft2wh1wj,04A-v1,answer button clicked
39102,39102,8dft2wh1wj,04A-v1,answer selected
0,0,8dft2wh1wj,05A-v1,setting task
7426,7426,8dft2wh1wj,05A-v1,question dialog closed
8561,8561,8dft2wh1wj,05A-v1,popupopen:name
8561,12627,8dft2wh1wj,05A-v1,POPUP
12630,12630,8dft2wh1wj,05A-v1,popupopen:name
12630,14980,8dft2wh1wj,05A-v1,POPUP
14982,14982,8dft2wh1wj,05A-v1,popupopen:name
14983,17801,8dft2wh1wj,05A-v1,POPUP
